id,content,command_and_control,infection_propagation,secondary_operation,machine_access_control,anti_detection,exfiltration,data_theft,collection,integrity_violation,persistence,destruction,anti_code_analysis,security_degradation,privilege_escalation,availability_violation,anti_behavioral_analysis,discovery
0,Korplug military targeted attacks: Afghanistan & Tajikistan.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"After taking a look at recent Korplug (PlugX) detections, we identified two larger scale campaigns employing this well-known Remote Access Trojan.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"This blog gives an overview of the first one, related to Afghanistan & Tajikistan.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"The other campaign, where the targets were a number of high-profile organizations in Russia, will be the subject of Anton Cherepanov’s presentation at the ZeroNights security conference in Moscow this week.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Sometimes malware used in various attacks is unique enough to identify related incidents, which makes tracking individual botnets simpler.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"An example is the BlackEnergy Lite variant (also known as BlackEnergy 3) used by a group of attackers (that was then given the name Quedagh, or Sandworm) against targets in Ukraine and other countries.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,BlackEnergy Lite is clearly distinguishable from the numerous binaries of the more common BlackEnergy 2 also circulating in-the-wild.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"In other cases, attackers use more common tools for accomplishing their criminal goals.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"For example, the Korplug RAT (a.k.a .PlugX) is a well-known toolkit associated with Chinese APT groups and used in a large number of targeted attacks since 2012.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,For the past several weeks we have taken a closer look at a great number of detections of this malware in many unrelated incidents.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Among these, we were able to discover several successful infections where the employed Korplug samples were connecting to the same C&C domain.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,DOMAIN: www.notebookhk.net Updated Date: 2013-11-12 18:03:45 Create Date: 2013-06-18 11:08:17 Registrant Name: lee stan Registrant Organization: lee stan Registrant Street: xianggangdiqu Registrant City: xianggangdiqu Registrant State: xianggang Registrant Postal Code: 796373 Registrant Country: HK Registrant Phone : +0.04375094543 Registrant Fax: +0.04375094543 Registrant Email:stanlee@gmail.com.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Other Korplug samples were connecting to a different domain name resolving to the same IPs as notebookhk.net.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
